Code;Genus;Species;Fullname
0;;;
3;Betula;pendula;Betula pendula
6;Alnus;incana;Alnus incana
9;Salix;caprea;Salix caprea
A3;Pinus;;Pinus sp
A6;Picea;;Picea sp
A9;Taxus;baccata;Taxus baccata
B2;Ulmus;laevis;Ulmus laevis
B5;Populus;;Populus sp
B8;Prunus;padus;Prunus padus
C1;Corylus;avellana;Corylus avellana
1;Pinus;sylvestris;Pinus sylvestris
4;Betula;pubescens;Betula pubescens
7;Alnus;glutinosa;Alnus glutinosa
A1;Pinus;contorta;Pinus contorta
A4;Larix;;Larix sp
A7;Thuja;;Thuja sp
A0;;; 
B3;Ulmus;glabra;Ulmus glabra
B6;Fraxinus;excelsior;Fraxinus excelsior
B9;Acer;platanoides;Acer platanoides
2;Picea;abies;Picea abies
5;Populus;tremula;Populus tremula
8;Sorbus;aucuparia;Sorbus aucuparia
A2;Pinus;cembra;Pinus cembra
A5;Abies;;Abies sp
A8;Juniperus;communis;Juniperus communis
B1;Salix;pentandra;Salix pentandra
B4;Tilia;cordata;Tilia cordata
B7;Quercus;robur;Quercus robur
B0;;;
